"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"MOTOGENFIN","The Motor & General Finance Limited","7(2)","RAM PRAKASH & CO.(P) LTD","Promoter Group","Equity Shares","1583336","4.09",,"100","1975","Buy","Equity Shares","1583436","4.09","29-Dec-2020","29-Dec-2020","30-Dec-2020","Market Purchase","-","-","0","0","0","0","BSE","-","30-Dec-2020 19:20","https://archives.nseindia.com/corporate/xbrl/IT_1088545_374773_30122020072003_WEB.xml"
"VMART","V-Mart Retail Limited","7(2)","RAJAN SHARMA","Employees/Designated Employees","Equity Shares","5515","0.03",,"593","1509697","Sell","Equity Shares","4922","0.03","28-Dec-2020","28-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:20","https://archives.nseindia.com/corporate/xbrl/IT_1088544_374771_30122020072000_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","JEFFREY FERDINANDS","Employees/Designated Employees","Equity Shares","3200","0",,"3200","3024000","Sell","Equity Shares","Nil","0","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Maneesh Bakhle","Employees/Designated Employees","Equity Shares","Nil","0",,"4500","3494610","Buy","Equity Shares","4500","0","24-Dec-2020","24-Dec-2020","29-Dec-2020","ESOP","-","-","0","0","0","0","NA","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Sachin Khankoje","Employees/Designated Employees","Equity Shares","20000","0",,"20000","19010358","Sell","Equity Shares","Nil","0","23-Dec-2020","23-Dec-2020","28-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIRUDDHA GADRE","Employees/Designated Employees","Equity Shares","6550","0",,"500","481000","Sell","Equity Shares","6050","0","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","S RAJI REDDY","Employees/Designated Employees","Equity Shares","250","0",,"250","240188","Sell","Equity Shares","Nil","0","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIL KHATRI","Employees/Designated Employees","Equity Shares","8000","0",,"1000","963000","Sell","Equity Shares","7000","0","29-Dec-2020","29-Dec-2020","30-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIL KHATRI","Employees/Designated Employees","Equity Shares","7000","0",,"500","489000","Sell","Equity Shares","6500","0","30-Dec-2020","30-Dec-2020","30-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","SAMPATH SAAGI","Employees/Designated Employees","Equity Shares","6000","0",,"2000","1920000","Sell","Equity Shares","4000","0","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","BSE","-","30-Dec-2020 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1088541_374767_30122020071355_WEB.xml"
