"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"GODREJCP","Godrej Consumer Products Limited","7(2)","Omar Momin","Employees/Designated Employees","Equity Shares","24107","0",,"14000","10361820","Sell","Equity Shares","10107","0","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 12:29","https://archives.nseindia.com/corporate/xbrl/IT_1088416_374486_30122020122930_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","Siddhantnayan Bajaj","Promoter Group","Equity Shares","23515","0.01",,"27985","251771250","Buy","Equity Shares","51500","0.03","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","RAHUL BAJAJ","Promoters","Equity Shares","277662","0.17",,"222000","1997256300","Sell","Equity Shares","55662","0.03","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","SANJALI FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"44400","399451260","Buy","Equity Shares","44400","0.03","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","SIDDHANT FAMILY TRUST","Promoter Group","Equity Shares","26885","0.02",,"16415","147680010","Buy","Equity Shares","43300","0.03","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","ARYAMAN FAMILY TRUST","Promoter Group","Equity Shares","75000","0.05",,"44400","399451260","Buy","Equity Shares","119400","0.08","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","NIRVAAN FAMILY TRUST","Promoter Group","Equity Shares","75000","0.05",,"44400","399451260","Buy","Equity Shares","119400","0.08","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","RAJIVNAYAN BAJAJ","Promoter Group","Equity Shares","70918","0.04",,"44400","399451260","Buy","Equity Shares","115318","0.07","28-Dec-2020","28-Dec-2020","30-Dec-2020","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Dec-2020 12:00","https://archives.nseindia.com/corporate/xbrl/IT_1088414_374477_30122020120045_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c","Other","Equity Shares","12212611","0.51",,"58467","22299916","Sell","Equity Shares","12154144","0.5","29-Dec-2020","29-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 11:27","https://archives.nseindia.com/corporate/xbrl/IT_1088410_374471_30122020112710_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c","Other","Equity Shares","12236611","0.51",,"9867","3625887","Sell","Equity Shares","12226744","0.51","24-Dec-2020","24-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 11:27","https://archives.nseindia.com/corporate/xbrl/IT_1088410_374471_30122020112710_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c","Other","Equity Shares","12226744","0.51",,"14133","5378049","Sell","Equity Shares","12212611","0.51","28-Dec-2020","28-Dec-2020","29-Dec-2020","Market Sale","-","-","0","0","0","0","NSE","-","30-Dec-2020 11:27","https://archives.nseindia.com/corporate/xbrl/IT_1088410_374471_30122020112710_WEB.xml"
